Reporter;TradeFlow;ProductCode;Product Description;Year;Partner;Trade Value 1000USD;Quantity;Quantity Unit
United States;Export;130213;"Vegetable saps and extracts; of hops";2019; World;         178485.35;5.10816e+006;Kg
Germany;Export;130213;"Vegetable saps and extracts; of hops";2019; World;         162376.76;4.22924e+006;Kg
European Union;Export;130213;"Vegetable saps and extracts; of hops";2019; World;         105850.77;2.82627e+006;Kg
United Kingdom;Export;130213;"Vegetable saps and extracts; of hops";2019; World;          35152.94;1.893e+006;Kg
Hong Kong, China;Export;130213;"Vegetable saps and extracts; of hops";2019; World;           3572.24;114905;Kg
China;Export;130213;"Vegetable saps and extracts; of hops";2019; World;           3141.01;131556;Kg
Belgium;Export;130213;"Vegetable saps and extracts; of hops";2019; World;           2287.08;80992.2;Kg
Denmark;Export;130213;"Vegetable saps and extracts; of hops";2019; World;           2056.40;606185;Kg
Italy;Export;130213;"Vegetable saps and extracts; of hops";2019; World;           1637.02;20013;Kg
France;Export;130213;"Vegetable saps and extracts; of hops";2019; World;           1181.95;24231.2;Kg
Australia;Export;130213;"Vegetable saps and extracts; of hops";2019; World;            988.72;88661;Kg
Netherlands;Export;130213;"Vegetable saps and extracts; of hops";2019; World;            816.17;44840.1;Kg
New Zealand;Export;130213;"Vegetable saps and extracts; of hops";2019; World;            791.91;34499;Kg
Brazil;Export;130213;"Vegetable saps and extracts; of hops";2019; World;            765.13;21791;Kg
Czech Republic;Export;130213;"Vegetable saps and extracts; of hops";2019; World;            727.50;10070;Kg
Peru;Export;130213;"Vegetable saps and extracts; of hops";2019; World;            549.93;5702.3;Kg
Spain;Export;130213;"Vegetable saps and extracts; of hops";2019; World;            435.19;17602;Kg
Slovenia;Export;130213;"Vegetable saps and extracts; of hops";2019; World;            293.75;5093.93;Kg
Namibia;Export;130213;"Vegetable saps and extracts; of hops";2019; World;            286.35;;
Portugal;Export;130213;"Vegetable saps and extracts; of hops";2019; World;            232.03;5001;Kg
Bolivia;Export;130213;"Vegetable saps and extracts; of hops";2019; World;            208.44;11040;Kg
Poland;Export;130213;"Vegetable saps and extracts; of hops";2019; World;            201.97;15778.5;Kg
Ireland;Export;130213;"Vegetable saps and extracts; of hops";2019; World;            188.81;10233;Kg
Belarus;Export;130213;"Vegetable saps and extracts; of hops";2019; World;            143.60;43600;Kg
South Africa;Export;130213;"Vegetable saps and extracts; of hops";2019; World;            101.01;7335.9;Kg
Colombia;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             87.79;3738.03;Kg
Ecuador;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             82.41;3600;Kg
Singapore;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             54.26;389;Kg
Panama;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             53.25;1351.26;Kg
Lithuania;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             49.58;1007.11;Kg
Thailand;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             43.96;745;Kg
Mozambique;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             42.63;40;Kg
Estonia;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             37.46;821;Kg
Cote d'Ivoire;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             33.08;590;Kg
Ukraine;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             21.56;739.68;Kg
Switzerland;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             16.11;282.088;Kg
Hungary;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             15.18;500;Kg
Japan;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             14.65;61;Kg
Russian Federation;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             11.80;1480;Kg
Austria;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             11.75;231;Kg
Croatia;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             11.18;706;Kg
Vietnam;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             11.04;256.672;Kg
Turkey;Export;130213;"Vegetable saps and extracts; of hops";2019; World;             10.71;3720;Kg
Ethiopia(excludes Eritrea);Export;130213;"Vegetable saps and extracts; of hops";2019; World;              9.99;3872;Kg
Nicaragua;Export;130213;"Vegetable saps and extracts; of hops";2019; World;              7.68;212;Kg
Sweden;Export;130213;"Vegetable saps and extracts; of hops";2019; World;              6.77;171.712;Kg
Serbia, FR(Serbia/Montenegro);Export;130213;"Vegetable saps and extracts; of hops";2019; World;              5.19;320;Kg
Kenya;Export;130213;"Vegetable saps and extracts; of hops";2019; World;              5.04;125;Kg
Korea, Rep.;Export;130213;"Vegetable saps and extracts; of hops";2019; World;              2.38;351;Kg
India;Export;130213;"Vegetable saps and extracts; of hops";2019; World;              2.02;5;Kg
Israel;Export;130213;"Vegetable saps and extracts; of hops";2019; World;              2.00;46.5;Kg
Malaysia;Export;130213;"Vegetable saps and extracts; of hops";2019; World;              1.95;3556;Kg
Honduras;Export;130213;"Vegetable saps and extracts; of hops";2019; World;              1.59;57;Kg
Canada;Export;130213;"Vegetable saps and extracts; of hops";2019; World;              1.29;485;Kg
Bosnia and Herzegovina;Export;130213;"Vegetable saps and extracts; of hops";2019; World;              1.26;60;Kg
Philippines;Export;130213;"Vegetable saps and extracts; of hops";2019; World;              0.55;40;Kg
Ghana;Export;130213;"Vegetable saps and extracts; of hops";2019; World;              0.53;1646;Kg
Luxembourg;Export;130213;"Vegetable saps and extracts; of hops";2019; World;              0.11;1;Kg
Jamaica;Export;130213;"Vegetable saps and extracts; of hops";2019; World;              0.01;8;Kg
